Campaign_Name,Id,Status,Date,Month,Amount,Payout,Currency,Sub_Id,Inventory,Partner,Email_Id
Pdffiller Many Geos,1094133947,pending,2024-10-31,V-Oct'24,0,0,INR,atrf,Real Pricetracker,Admitad,contact@xocoupon.com
Pdffiller Many Geos,1094133944,pending,2024-10-31,V-Oct'24,20,3364.8,INR,atrf,Real Pricetracker,Admitad,contact@xocoupon.com
H&M Many GEOs,1094132422,pending,2024-10-31,V-Oct'24,132.6,1785.0264,INR,tabm,xocoupon,Admitad,contact@xocoupon.com
Pdffiller Many Geos,1094127088,pending,2024-10-31,V-Oct'24,20,3364.8,INR,tabm,Real Pricetracker,Admitad,contact@xocoupon.com
Cleartrip [CPS] IN,1094021177,pending,2024-10-31,V-Oct'24,4166,140,INR,atrf,xocoupon,Admitad,contact@xocoupon.com
Ancestry US CA UK AU DE,1093905335,pending,2024-10-31,V-Oct'24,21.99,329.7504,INR,tabm,Real Pricetracker,Admitad,contact@xocoupon.com
Udemy WW,1094871766,pending,2024-10-30,V-Oct'24,3.79,25.236,INR,atrf,Real Pricetracker,Admitad,contact@xocoupon.com
Udemy WW,1094871756,pending,2024-10-30,V-Oct'24,3.79,25.236,INR,atrf,Real Pricetracker,Admitad,contact@xocoupon.com
Udemy WW,1094871716,pending,2024-10-30,V-Oct'24,3.79,25.236,INR,atrf,Real Pricetracker,Admitad,contact@xocoupon.com
Udemy WW,1094871708,pending,2024-10-30,V-Oct'24,3.79,25.236,INR,atrf,Real Pricetracker,Admitad,contact@xocoupon.com
Cleartrip [CPS] IN,1093837635,pending,2024-10-30,V-Oct'24,4172,140,INR,atrf,xocoupon,Admitad,contact@xocoupon.com
Cleartrip [CPS] IN,1093833230,pending,2024-10-30,V-Oct'24,4481,140,INR,atrf,xocoupon,Admitad,contact@xocoupon.com
Cleartrip [CPS] IN,1093823775,pending,2024-10-30,V-Oct'24,5057,140,INR,atrf,xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1094871822,pending,2024-10-30,V-Oct'24,31.44,211.9824,INR,atrf,Real Pricetracker,Admitad,contact@xocoupon.com
Udemy WW,1094871683,pending,2024-10-30,V-Oct'24,34.59,232.1712,INR,atrf,Real Pricetracker,Admitad,contact@xocoupon.com
Cleartrip [CPS] IN,1093799033,pending,2024-10-30,V-Oct'24,4699,140,INR,atrf,xocoupon,Admitad,contact@xocoupon.com
Cleartrip [CPS] IN,1093743443,pending,2024-10-30,V-Oct'24,4633,140,INR,atrf,xocoupon,Admitad,contact@xocoupon.com
Ancestry US CA UK AU DE,1093614990,pending,2024-10-30,V-Oct'24,0,0,INR,tab_ch,Real Pricetracker,Admitad,contact@xocoupon.com
Udemy WW,1094604448,pending,2024-10-29,V-Oct'24,4.36,29.442,INR,atrf,Real Pricetracker,Admitad,contact@xocoupon.com
Lenovo Many GEOs,1093585199,pending,2024-10-29,V-Oct'24,878.82,1237.7862,INR,atrf,Real Pricetracker,Admitad,contact@xocoupon.com
Cleartrip [CPS] IN,1093564525,pending,2024-10-29,V-Oct'24,8461,140,INR,atrf,xocoupon,Admitad,contact@xocoupon.com
Cleartrip [CPS] IN,1093558905,pending,2024-10-29,V-Oct'24,4023,140,INR,atrf,xocoupon,Admitad,contact@xocoupon.com
Cleartrip [CPS] IN,1093539054,pending,2024-10-29,V-Oct'24,4481,140,INR,atrf,xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1094604474,pending,2024-10-29,V-Oct'24,3.79,25.236,INR,atrf,Real Pricetracker,Admitad,contact@xocoupon.com
Udemy WW,1094604427,pending,2024-10-29,V-Oct'24,3.79,25.236,INR,atrf,Real Pricetracker,Admitad,contact@xocoupon.com
Udemy WW,1094604394,pending,2024-10-29,V-Oct'24,3.79,25.236,INR,atrf,Real Pricetracker,Admitad,contact@xocoupon.com
Udemy WW,1094604327,pending,2024-10-29,V-Oct'24,4.96,33.648,INR,atrf,Real Pricetracker,Admitad,contact@xocoupon.com
Udemy WW,1094604302,pending,2024-10-29,V-Oct'24,3.79,25.236,INR,atrf,Real Pricetracker,Admitad,contact@xocoupon.com
Cleartrip [CPS] IN,1093529273,pending,2024-10-29,V-Oct'24,5465,140,INR,atrf,xocoupon,Admitad,contact@xocoupon.com
Cleartrip [CPS] IN,1093507390,pending,2024-10-29,V-Oct'24,7040,140,INR,atrf,xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1094331691,pending,2024-10-29,V-Oct'24,14.02,94.2144,INR,tabm,Real Pricetracker,Admitad,contact@xocoupon.com
Udemy WW,1094331672,pending,2024-10-29,V-Oct'24,14.02,94.2144,INR,tabm,Real Pricetracker,Admitad,contact@xocoupon.com
